epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.747,1.02597,1.98826,0.97809,0.98404,0.84478,0.94155,0.72224,0.84793,2.00085,0.86117,0.000659864,0.000659864,0.000659864
2,303.546,0.89712,1.05206,0.8942,0.97605,0.93054,0.96407,0.69737,0.90087,0.84693,0.91312,0.0013134,0.0013134,0.0013134
3,451.036,0.86362,0.81614,0.89633,0.973,0.94521,0.97103,0.76378,0.78064,0.60045,0.86528,0.00195373,0.00195373,0.00195373
4,597.99,0.83287,0.67866,0.88849,0.9789,0.95313,0.9713,0.71977,0.81232,0.54455,0.86419,0.0019406,0.0019406,0.0019406
5,740.835,0.78569,0.58069,0.8722,0.98797,0.9377,0.9801,0.76884,0.74945,0.49469,0.85117,0.0019208,0.0019208,0.0019208
6,884.391,0.76218,0.56367,0.86596,0.98106,0.94609,0.97026,0.76653,0.73111,0.52644,0.84526,0.001901,0.001901,0.001901
7,1031.4,0.75567,0.5498,0.86858,0.97535,0.94977,0.97038,0.78132,0.68186,0.49748,0.84669,0.0018812,0.0018812,0.0018812
8,1180.69,0.73245,0.51304,0.8684,0.97984,0.95205,0.97808,0.81563,0.66473,0.45353,0.83845,0.0018614,0.0018614,0.0018614
9,1327.98,0.72677,0.51126,0.86253,0.97885,0.95113,0.97762,0.76394,0.74483,0.47331,0.8572,0.0018416,0.0018416,0.0018416
10,1474.26,0.71887,0.48871,0.85559,0.9723,0.96162,0.98153,0.80325,0.6786,0.4383,0.86773,0.0018218,0.0018218,0.0018218
11,1621.26,0.70042,0.47527,0.85717,0.97654,0.95028,0.98075,0.81762,0.63896,0.42069,0.83286,0.001802,0.001802,0.001802
12,1768.2,0.67059,0.46182,0.84749,0.97223,0.95662,0.98315,0.81026,0.68303,0.44436,0.83484,0.0017822,0.0017822,0.0017822
13,1911.4,0.69878,0.47493,0.8524,0.99056,0.95802,0.97915,0.79421,0.6843,0.44246,0.83589,0.0017624,0.0017624,0.0017624
14,2057.38,0.67032,0.45757,0.84888,0.9813,0.94749,0.98563,0.81752,0.65922,0.44093,0.82841,0.0017426,0.0017426,0.0017426
15,2204.66,0.67893,0.46475,0.85136,0.97045,0.96347,0.98774,0.80957,0.65982,0.42218,0.8373,0.0017228,0.0017228,0.0017228
16,2357.83,0.6613,0.43068,0.8478,0.97421,0.94881,0.98285,0.81857,0.64341,0.41264,0.83277,0.001703,0.001703,0.001703
17,2508.5,0.65223,0.43355,0.84588,0.97899,0.95731,0.98645,0.83307,0.60878,0.39259,0.8267,0.0016832,0.0016832,0.0016832
18,2661.41,0.64441,0.42898,0.84748,0.97853,0.93659,0.97835,0.79578,0.74918,0.44944,0.84544,0.0016634,0.0016634,0.0016634
19,2811.01,0.6319,0.43512,0.83865,0.9778,0.94977,0.97837,0.81527,0.60715,0.38657,0.8223,0.0016436,0.0016436,0.0016436
20,2961.32,0.62402,0.42047,0.83962,0.96619,0.97032,0.98544,0.83501,0.60116,0.38,0.82485,0.0016238,0.0016238,0.0016238
21,3103.95,0.61902,0.4052,0.83609,0.96896,0.96119,0.98882,0.8295,0.62529,0.40338,0.82622,0.001604,0.001604,0.001604
22,3256.73,0.62967,0.4156,0.84096,0.98121,0.95396,0.98845,0.8362,0.59968,0.38846,0.82068,0.0015842,0.0015842,0.0015842
